;ID_exp;date_exp;description;Kheight;Kx;Ky;Kz;tilx;tily;tilz;rotation;ID_subject;x;y;height;time;joints;pitch;yaw;roll;body_length;posture;re_body_angle;origin_x;origin_y;diff_re_body_angle;shr_x;shr_y;shl_x;shl_y;sp_x;sp_y
444;AW_221120;2020-11-22 15:11:04.931529;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.118;2.445;1.674;15:11:04.9315292;{'SpineBase': [-1.11572146, 0.361702174, 2.591726], 'SpineMid': [-1.11803162, 0.58719033, 2.444727], 'Neck': [-1.11576343, 0.8059282, 2.289903], 'Head': [-1.09728718, 0.916122854, 2.237669], 'ShoulderLeft': [-1.20513654, 0.6745487, 2.24847913], 'ElbowLeft': [-1.27619791, 0.472785652, 2.33427143], 'WristLeft': [-1.26461065, 0.310932577, 2.39021254], 'HandLeft': [-1.26148736, 0.2828159, 2.39832449], 'ShoulderRight': [-1.00443912, 0.779621661, 2.42703247], 'ElbowRight': [-0.98036623, 0.6158695, 2.58407331], 'WristRight': [-0.939622045, 0.458171785, 2.69538164], 'HandRight': [-0.92535913, 0.397423625, 2.75648665], 'HipLeft': [-1.13363719, 0.347654819, 2.5329833], 'AnkleLeft': [-1.17812943, -0.326455534, 2.94859767], 'FootLeft': [-1.136938, -0.416724682, 2.9496026], 'HipRight': [-1.074096, 0.367649972, 2.59357643], 'KneeRight': [-1.12121308, 0.0233965982, 2.784632], 'AnkleRight': [-1.14445579, -0.331974357, 3.0198288], 'FootRight': [-1.09274614, -0.400309324, 2.993288], 'SpineShoulder': [-1.11722958, 0.752320766, 2.330118], 'HandTipLeft': [-1.26098323, 0.217282653, 2.42824388], 'ThumbLeft': [-1.276911, 0.277504951, 2.36699986], 'HandTipRight': [-0.9163391, 0.3451445, 2.802135], 'ThumbRight': [-0.938309669, 0.354283333, 2.76256776]};-15;-20;5;0.470;Undefined;-131.660;1.118;2.445;3.340;1.004;2.427;1.205;2.248;1.117;2.330
445;AW_221120;2020-11-22 15:11:05.155002;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.123;2.458;1.679;15:11:05.1550025;{'SpineBase': [-1.12227464, 0.368873268, 2.60164332], 'SpineMid': [-1.12252426, 0.5963565, 2.45782924], 'Neck': [-1.11757541, 0.817576, 2.30654526], 'Head': [-1.09826815, 0.929216564, 2.25603843], 'ShoulderLeft': [-1.20529962, 0.686110139, 2.26177716], 'ElbowLeft': [-1.2797972, 0.483775645, 2.34370422], 'WristLeft': [-1.26195621, 0.3136487, 2.40121531], 'HandLeft': [-1.27002513, 0.303715646, 2.405527], 'ShoulderRight': [-1.00659108, 0.792776, 2.44466829], 'ElbowRight': [-0.983570755, 0.6315143, 2.60409117], 'WristRight': [-0.9416078, 0.469043046, 2.72269773], 'HandRight': [-0.9314482, 0.411473155, 2.78975248], 'HipLeft': [-1.13962126, 0.354791552, 2.54192615], 'KneeLeft': [-1.16380119, 0.0214544162, 2.75655222], 'AnkleLeft': [-1.2017256, -0.360455424, 2.955901], 'FootLeft': [-1.13914073, -0.418814659, 2.94452715], 'HipRight': [-1.08094585, 0.374928057, 2.605379], 'KneeRight': [-1.11997557, 0.0334055834, 2.80599284], 'AnkleRight': [-1.14947724, -0.3281886, 3.01639581], 'FootRight': [-1.09625208, -0.4051704, 2.979983], 'SpineShoulder': [-1.11977041, 0.7633088, 2.34587884], 'HandTipLeft': [-1.27057481, 0.264575273, 2.413668], 'ThumbLeft': [-1.28910542, 0.293372333, 2.387891], 'HandTipRight': [-0.9217634, 0.359467357, 2.83838987], 'ThumbRight': [-0.9424457, 0.357105851, 2.82525]};-15;-20;5;0.470;Undefined;-132.630;1.123;2.458;2.370;1.007;2.445;1.205;2.262;1.120;2.346
446;AW_221120;2020-11-22 15:11:05.388379;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.126;2.475;1.673;15:11:05.3883794;{'SpineBase': [-1.14059341, 0.380878925, 2.62221551], 'SpineMid': [-1.12559283, 0.606346965, 2.475176], 'Neck': [-1.10772228, 0.826258838, 2.32203], 'Head': [-1.08281934, 0.9366127, 2.27267718], 'ShoulderLeft': [-1.20364714, 0.700124562, 2.27754331], 'ElbowLeft': [-1.28239322, 0.5020707, 2.36444736], 'WristLeft': [-1.26455486, 0.321587235, 2.43104649], 'HandLeft': [-1.2732625, 0.2642244, 2.461976], 'ShoulderRight': [-0.9942732, 0.792568564, 2.45955753], 'ElbowRight': [-0.9801379, 0.635238767, 2.62294173], 'WristRight': [-0.9477593, 0.474098742, 2.74108958], 'HandRight': [-0.9413638, 0.41635856, 2.79723978], 'HipLeft': [-1.163152, 0.36837548, 2.56246924], 'KneeLeft': [-1.1513226, 0.0120642278, 2.747689], 'FootLeft': [-1.13858712, -0.38055253, 2.916282], 'HipRight': [-1.09372783, 0.3852425, 2.62555242], 'AnkleRight': [-1.14936852, -0.328403831, 3.01507], 'FootRight': [-1.09940612, -0.4054262, 2.98619771], 'SpineShoulder': [-1.11322224, 0.7722679, 2.36164141], 'HandTipLeft': [-1.27987862, 0.202816591, 2.49107718], 'ThumbLeft': [-1.285471, 0.2564892, 2.4195], 'HandTipRight': [-0.9302523, 0.367048979, 2.832711], 'ThumbRight': [-0.948042154, 0.3724428, 2.79566669]};-15;-20;5;0.471;Undefined;-131.000;1.126;2.475;4.000;0.994;2.460;1.204;2.278;1.113;2.362
447;AW_221120;2020-11-22 15:11:05.621038;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.140;2.489;1.677;15:11:05.6210387;{'SpineBase': [-1.16065574, 0.387682438, 2.63967872], 'SpineMid': [-1.13964188, 0.611475348, 2.48927283], 'Neck': [-1.11442566, 0.828670561, 2.33049464], 'Head': [-1.08483815, 0.9363203, 2.28087258], 'ShoulderLeft': [-1.21887875, 0.7085692, 2.29019332], 'ElbowLeft': [-1.30408466, 0.513300061, 2.37665081], 'WristLeft': [-1.30409193, 0.3463266, 2.429002], 'HandLeft': [-1.30536556, 0.28635627, 2.4646647], 'ShoulderRight': [-0.999343336, 0.7917902, 2.465617], 'ElbowRight': [-0.986029744, 0.6308739, 2.625901], 'WristRight': [-0.95925957, 0.471031338, 2.73252034], 'HandRight': [-0.9555834, 0.406662, 2.78211737], 'HipLeft': [-1.18326557, 0.374856979, 2.58289242], 'KneeLeft': [-1.202929, -0.0115928492, 2.70826], 'AnkleLeft': [-1.329148, -0.331918955, 2.909449], 'FootLeft': [-1.28021681, -0.427154839, 2.8944838], 'HipRight': [-1.113362, 0.392243057, 2.64028645], 'KneeRight': [-1.12760258, 0.0376491137, 2.82727456], 'AnkleRight': [-1.15043426, -0.3050645, 3.038933], 'FootRight': [-1.08571708, -0.3701398, 2.97833323], 'SpineShoulder': [-1.12156141, 0.7754262, 2.37171578], 'HandTipLeft': [-1.32072926, 0.221636891, 2.485296], 'ThumbLeft': [-1.30750573, 0.300940931, 2.39569235], 'HandTipRight': [-0.947704852, 0.354486346, 2.81369162], 'ThumbRight': [-0.968316, 0.362590551, 2.787375]};-20;-15;-5;0.473;Undefined;-128.630;1.140;2.489;6.370;0.999;2.466;1.219;2.290;1.122;2.372
448;AW_221120;2020-11-22 15:11:05.853370;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.200;2.480;1.653;15:11:05.8533702;{'SpineBase': [-1.211652, 0.382038683, 2.624546], 'SpineMid': [-1.20037413, 0.60610795, 2.48033953], 'Neck': [-1.18440437, 0.8234706, 2.32808542], 'Head': [-1.15814233, 0.9328885, 2.278919], 'ShoulderLeft': [-1.280133, 0.7009806, 2.284153], 'ElbowLeft': [-1.35642982, 0.5007121, 2.36850119], 'WristLeft': [-1.35067582, 0.336102784, 2.417758], 'HandLeft': [-1.35390878, 0.275468826, 2.44775915], 'ShoulderRight': [-1.070305, 0.7962138, 2.46820283], 'ElbowRight': [-1.05029857, 0.6343705, 2.62739325], 'WristRight': [-1.01644158, 0.4818469, 2.7330873], 'HandRight': [-1.01640534, 0.4235331, 2.783827], 'HipLeft': [-1.22926235, 0.3674097, 2.566625], 'KneeLeft': [-1.3246243, -0.000682454556, 2.700985], 'AnkleLeft': [-1.48746467, -0.304736137, 2.901586], 'FootLeft': [-1.46820736, -0.4064834, 2.89373064], 'HipRight': [-1.16833818, 0.388640225, 2.626421], 'KneeRight': [-1.14415693, 0.060747806, 2.82889462], 'AnkleRight': [-1.15430307, -0.284864932, 3.03276944], 'FootRight': [-1.08559275, -0.347513616, 2.973915], 'SpineShoulder': [-1.18928528, 0.7702059, 2.36770225], 'HandTipLeft': [-1.36331689, 0.210534647, 2.47804022], 'ThumbLeft': [-1.36361837, 0.274102867, 2.40264273], 'HandTipRight': [-1.0012058, 0.3720699, 2.81387448], 'ThumbRight': [-1.03921783, 0.4428527, 2.75890017]};-15;-15;-5;0.466;Undefined;-131.260;1.200;2.480;3.740;1.070;2.468;1.280;2.284;1.189;2.368
449;AW_221120;2020-11-22 15:11:06.054879;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.296;2.461;1.651;15:11:06.0548794;{'SpineBase': [-1.2997973, 0.35977447, 2.61114645], 'SpineMid': [-1.29610109, 0.5827862, 2.4611125], 'Neck': [-1.28689265, 0.799192846, 2.30268288], 'Head': [-1.26308119, 0.907520652, 2.25188231], 'ShoulderLeft': [-1.36766851, 0.681106448, 2.265295], 'ElbowLeft': [-1.45223773, 0.482752234, 2.345494], 'WristLeft': [-1.43168676, 0.302967459, 2.40696883], 'HandLeft': [-1.43568647, 0.258663744, 2.43230534], 'ShoulderRight': [-1.1592679, 0.770425141, 2.44429278], 'ElbowRight': [-1.1510793, 0.617292, 2.61153579], 'WristRight': [-1.109566, 0.4295186, 2.73918271], 'HandRight': [-1.11103344, 0.364100516, 2.78673172], 'HipLeft': [-1.31977153, 0.340690523, 2.556035], 'KneeLeft': [-1.40505993, -0.02185457, 2.71192431], 'AnkleLeft': [-1.53773487, -0.3272452, 2.93307853], 'FootLeft': [-1.50387216, -0.424767554, 2.91336346], 'HipRight': [-1.25240588, 0.371189058, 2.61109519], 'KneeRight': [-1.19601822, 0.0602764525, 2.82082772], 'AnkleRight': [-1.165806, -0.282606125, 3.03007364], 'FootRight': [-1.09785151, -0.3455847, 2.97038627], 'SpineShoulder': [-1.29020846, 0.746142149, 2.34385729], 'HandTipLeft': [-1.44374, 0.195559978, 2.45965338], 'ThumbLeft': [-1.44182718, 0.2678062, 2.362409], 'HandTipRight': [-1.10422266, 0.322503179, 2.83428073], 'ThumbRight': [-1.12366486, 0.347858518, 2.76507735]};-20;-15;-10;0.470;Undefined;-130.660;1.296;2.461;4.340;1.159;2.444;1.368;2.265;1.290;2.344
450;AW_221120;2020-11-22 15:11:06.286839;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.410;2.437;1.613;15:11:06.2868392;{'SpineBase': [-1.41462851, 0.345613748, 2.59413624], 'SpineMid': [-1.41011441, 0.5671379, 2.43650913], 'Neck': [-1.40030444, 0.7832892, 2.26889563], 'Head': [-1.37748, 0.8828307, 2.21357727], 'ShoulderLeft': [-1.477772, 0.64487195, 2.24326634], 'ElbowLeft': [-1.57981992, 0.455166638, 2.32091331], 'WristLeft': [-1.57547939, 0.291683137, 2.373055], 'HandLeft': [-1.5892061, 0.2586851, 2.38213515], 'ShoulderRight': [-1.29467273, 0.7493828, 2.40788817], 'ElbowRight': [-1.27372587, 0.60065335, 2.57835817], 'WristRight': [-1.23033631, 0.4099963, 2.701671], 'HandRight': [-1.23136258, 0.3359875, 2.7538085], 'HipLeft': [-1.43170941, 0.324421734, 2.53607154], 'KneeLeft': [-1.46246326, -0.0237696655, 2.7015717], 'AnkleLeft': [-1.55212677, -0.341999054, 2.92816877], 'FootLeft': [-1.52488589, -0.425952, 2.92293835], 'HipRight': [-1.36808968, 0.3597007, 2.598107], 'KneeRight': [-1.30917323, 0.08559598, 2.78459048], 'AnkleRight': [-1.214878, -0.238995656, 3.00610018], 'FootRight': [-1.143646, -0.30132553, 2.94979119], 'SpineShoulder': [-1.40358984, 0.73022455, 2.31253266], 'HandTipLeft': [-1.59467244, 0.177531525, 2.423813], 'ThumbLeft': [-1.57749748, 0.23300381, 2.3446], 'HandTipRight': [-1.22968817, 0.2830795, 2.795762], 'ThumbRight': [-1.24594522, 0.315104455, 2.74433327]};-30;-20;-10;0.477;Undefined;-131.960;1.410;2.437;3.040;1.295;2.408;1.478;2.243;1.404;2.313
451;AW_221120;2020-11-22 15:11:06.486899;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.451;2.442;1.619;15:11:06.4868990;{'SpineBase': [-1.44566417, 0.344525218, 2.60286117], 'SpineMid': [-1.45060754, 0.562699854, 2.442312], 'Neck': [-1.45547509, 0.774924934, 2.277563], 'Head': [-1.45882547, 0.85953325, 2.23439527], 'ShoulderLeft': [-1.5070622, 0.649093, 2.244566], 'HandLeft': [-1.49501157, 0.751179, 2.20349956], 'ShoulderRight': [-1.36266243, 0.7497309, 2.39407754], 'ElbowRight': [-1.3374505, 0.601548851, 2.56543732], 'WristRight': [-1.29270279, 0.414621, 2.69446659], 'HandRight': [-1.29228115, 0.348141134, 2.74779058], 'HipLeft': [-1.46651208, 0.308689058, 2.548752], 'KneeLeft': [-1.50170457, -0.0210393462, 2.70543146], 'AnkleLeft': [-1.570006, -0.3155641, 2.905575], 'FootLeft': [-1.52973378, -0.4072442, 2.920306], 'HipRight': [-1.39595151, 0.372626573, 2.60578156], 'KneeRight': [-1.35819256, 0.0196280964, 2.8075757], 'AnkleRight': [-1.36365211, -0.2640733, 3.04625845], 'FootRight': [-1.38705647, -0.3617866, 3.01423526], 'SpineShoulder': [-1.45527565, 0.722800136, 2.31999588], 'HandTipLeft': [-1.43457067, 0.8146349, 2.15482926], 'ThumbLeft': [-1.50418067, 0.7791828, 2.176], 'HandTipRight': [-1.28750384, 0.301892519, 2.793945], 'ThumbRight': [-1.31463587, 0.336556375, 2.73622227]};-25;-10;-10;0.472;Yawning;-136.000;1.451;2.442;1.000;1.363;2.394;1.507;2.245;1.455;2.320
452;AW_221120;2020-11-22 15:11:06.696291;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.485;2.445;1.659;15:11:06.6962914;{'SpineBase': [-1.48384714, 0.3439479, 2.599677], 'SpineMid': [-1.485259, 0.562876463, 2.4450624], 'Neck': [-1.4823947, 0.774647951, 2.28252554], 'ShoulderLeft': [-1.53985739, 0.721250951, 2.232161], 'ElbowLeft': [-1.5191679, 0.5180537, 2.29230428], 'WristLeft': [-1.463195, 0.724725544, 2.19003487], 'HandLeft': [-1.44567966, 0.828919649, 2.15280318], 'ShoulderRight': [-1.38167965, 0.754886448, 2.39234], 'ElbowRight': [-1.36505187, 0.606307268, 2.56396866], 'WristRight': [-1.32231069, 0.422878921, 2.698056], 'HandRight': [-1.32097054, 0.347678274, 2.76617169], 'HipLeft': [-1.5068866, 0.3177623, 2.554997], 'KneeLeft': [-1.531437, 0.01800722, 2.69016075], 'AnkleLeft': [-1.57203579, -0.318184823, 2.91152334], 'FootLeft': [-1.50363755, -0.39475745, 2.93060827], 'HipRight': [-1.43187129, 0.363758415, 2.59091067], 'KneeRight': [-1.46071792, 0.0119047966, 2.794346], 'AnkleRight': [-1.50455189, -0.296273053, 3.04757452], 'FootRight': [-1.46723723, -0.392392278, 2.991579], 'SpineShoulder': [-1.48405838, 0.7226464, 2.32455349], 'HandTipLeft': [-1.4230268, 0.8526153, 2.13285255], 'ThumbLeft': [-1.44841337, 0.8186764, 2.12440014], 'HandTipRight': [-1.31876659, 0.2980407, 2.807623], 'ThumbRight': [-1.34495151, 0.336124718, 2.76249981]};-35;-10;-10;0.468;Yawning;-135.360;1.485;2.445;0.360;1.382;2.392;1.540;2.232;1.484;2.325
454;AW_221120;2020-11-22 15:11:07.165038;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.513;2.477;1.713;15:11:07.1650382;{'SpineBase': [-1.5279057, 0.3612022, 2.63506222], 'SpineMid': [-1.51323724, 0.579786539, 2.47695184], 'Neck': [-1.4939903, 0.791914761, 2.31360745], 'Head': [-1.49697089, 0.884113967, 2.26685619], 'ShoulderLeft': [-1.55116439, 0.666911364, 2.290523], 'WristLeft': [-1.48320282, 0.7091382, 2.25091362], 'HandLeft': [-1.46603262, 0.8018895, 2.230204], 'ShoulderRight': [-1.40922093, 0.77781564, 2.434024], 'ElbowRight': [-1.38683867, 0.633128643, 2.608177], 'WristRight': [-1.34171116, 0.447219759, 2.73832583], 'HandRight': [-1.33663547, 0.3719306, 2.81589222], 'HipLeft': [-1.54284191, 0.332499772, 2.581618], 'KneeLeft': [-1.5889343, 0.0307246782, 2.71632338], 'AnkleLeft': [-1.62290215, -0.223800033, 2.87162185], 'FootLeft': [-1.5631628, -0.309798181, 2.88498449], 'HipRight': [-1.48223424, 0.38324067, 2.63536429], 'KneeRight': [-1.51546943, 0.01795828, 2.82772565], 'AnkleRight': [-1.52783036, -0.3484529, 3.05175114], 'FootRight': [-1.47676, -0.412843823, 2.95519781], 'SpineShoulder': [-1.49984038, 0.7397694, 2.35564256], 'HandTipLeft': [-1.43969035, 0.831628144, 2.18398976], 'ThumbLeft': [-1.43977535, 0.8207389, 2.16175], 'HandTipRight': [-1.34221673, 0.326920271, 2.86004043], 'ThumbRight': [-1.35387921, 0.369749725, 2.79050016]};-30;-5;-5;0.471;Yawning;-135.310;1.513;2.477;0.310;1.409;2.434;1.551;2.291;1.500;2.356
455;AW_221120;2020-11-22 15:11:07.386869;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.523;2.493;1.679;15:11:07.3868691;{'SpineBase': [-1.54792082, 0.3692214, 2.65005326], 'SpineMid': [-1.52253807, 0.589300036, 2.49287224], 'Neck': [-1.49264574, 0.803313851, 2.328513], 'Head': [-1.48354793, 0.8977833, 2.27608919], 'ShoulderLeft': [-1.55018413, 0.688819766, 2.30979967], 'WristLeft': [-1.50924778, 0.7195948, 2.30700159], 'HandLeft': [-1.494929, 0.7801564, 2.29564285], 'ShoulderRight': [-1.40079141, 0.7791995, 2.43947983], 'ElbowRight': [-1.37967491, 0.631509, 2.61142874], 'WristRight': [-1.35370648, 0.4712857, 2.733718], 'HandRight': [-1.34264266, 0.412204534, 2.79576659], 'HipLeft': [-1.56669092, 0.345485359, 2.60157466], 'KneeLeft': [-1.57297742, -0.0135796061, 2.71858], 'AnkleLeft': [-1.63058257, -0.3448398, 2.94364357], 'FootLeft': [-1.54045391, -0.414527655, 2.93609071], 'HipRight': [-1.498021, 0.3859518, 2.64553642], 'KneeRight': [-1.52417278, 0.0308374651, 2.82086062], 'AnkleRight': [-1.52252448, -0.302457243, 3.058233], 'FootRight': [-1.50607371, -0.3919133, 2.97774], 'SpineShoulder': [-1.50107193, 0.750727236, 2.37095833], 'HandTipLeft': [-1.45461714, 0.8427627, 2.26550984], 'ThumbLeft': [-1.51672924, 0.762577534, 2.2511003], 'HandTipRight': [-1.33747232, 0.3689259, 2.84540582], 'ThumbRight': [-1.32682824, 0.392485827, 2.76383352]};-25;0;-10;0.475;Yawning;-130.960;1.523;2.493;4.040;1.401;2.439;1.550;2.310;1.501;2.371
464;AW_221120;2020-11-22 15:11:09.352884;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935916;1.978;3.164;5.059;15:11:09.3528846;{'Head': [-0.119565979, -0.008174955, 0.195623547], 'ShoulderLeft': [-2.03232884, -0.12677367, 3.5570693], 'HandLeft': [-1.8186388, -0.130906135, 3.131546], 'ShoulderRight': [-2.257027, -0.174016178, 3.50698137], 'FootRight': [-2.00375867, -0.139173552, 3.26509476]};0;0;0;3.759;Scratching;77.430;1.978;3.164;212.430;0.000;0.000;0.000;0.000;0.000;0.000
465;AW_221120;2020-11-22 15:11:17.785388;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935958;1.979;3.112;1.437;15:11:17.7853889;{'SpineBase': [-2.009141, 0.612032652, 3.24294257], 'SpineMid': [-1.978784, 0.7565323, 3.11183763], 'Neck': [-1.93915081, 0.8993144, 2.97426534], 'Head': [-1.9368974, 1.06865358, 2.97535944], 'ShoulderLeft': [-2.02712536, 0.795169234, 2.97457147], 'WristLeft': [-1.9937253, 0.7731788, 2.93995571], 'HandLeft': [-2.00484657, 0.7228703, 2.99216819], 'ShoulderRight': [-1.89834785, 0.9686027, 3.1556263], 'ElbowRight': [-1.84124625, 0.828735054, 3.241287], 'WristRight': [-1.80641866, 0.664323747, 3.32021666], 'HandRight': [-1.79554355, 0.6463083, 3.34261656], 'HipLeft': [-2.02249551, 0.569484353, 3.2129972], 'KneeLeft': [-2.08147931, 0.323950768, 3.258047], 'AnkleLeft': [-2.165823, 0.00623210846, 3.43886471], 'FootLeft': [-2.14508128, -0.11005149, 3.4317553], 'HipRight': [-1.96774375, 0.6457701, 3.219548], 'KneeRight': [-1.85890293, 0.3478175, 3.37171078], 'AnkleRight': [-1.77768719, 0.110060476, 3.53472066], 'FootRight': [-1.68653643, 0.04427252, 3.5030458], 'SpineShoulder': [-1.95064461, 0.8637046, 3.01016021], 'HandTipLeft': [-1.99833274, 0.6598076, 3.03761387], 'ThumbLeft': [-1.94478512, 0.7147959, 2.98907685], 'HandTipRight': [-1.79652894, 0.609724045, 3.3617928], 'ThumbRight': [-1.76277149, 0.6437824, 3.3222]};0;0;0;0.348;Undefined;-144.580;1.979;3.112;9.580;1.898;3.156;2.027;2.975;1.951;3.010
466;AW_221120;2020-11-22 15:11:17.985879;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935958;1.863;3.095;1.445;15:11:17.9858798;{'SpineBase': [-1.90079951, 0.6911359, 3.21092343], 'SpineMid': [-1.86265087, 0.8074688, 3.095346], 'Neck': [-1.80606914, 0.9011844, 2.97982883], 'Head': [-1.86629522, 1.0631777, 2.961774], 'ShoulderLeft': [-1.99297714, 0.9539586, 2.91182375], 'WristLeft': [-1.98660326, 0.8672694, 2.88722754], 'HandLeft': [-2.03099775, 0.8161136, 2.95012116], 'ShoulderRight': [-1.7471813, 1.03042, 3.007647], 'ElbowRight': [-1.72115147, 0.934348, 3.20224738], 'WristRight': [-1.67976224, 0.7565809, 3.29868746], 'HandRight': [-1.65326238, 0.682241559, 3.34005713], 'HipLeft': [-1.93826759, 0.6676517, 3.16654086], 'KneeLeft': [-2.02655649, 0.330391645, 3.26709342], 'AnkleLeft': [-2.15911984, -0.0545610823, 3.46649265], 'FootLeft': [-2.12888432, -0.138766125, 3.43366814], 'HipRight': [-1.83041775, 0.6988043, 3.20247984], 'KneeRight': [-1.78960109, 0.44234708, 3.3379488], 'AnkleRight': [-1.75736988, 0.07147126, 3.55368733], 'FootRight': [-1.6909672, -0.02936843, 3.55260968], 'SpineShoulder': [-1.8212955, 0.8812219, 3.00858235], 'HandTipLeft': [-2.02137637, 0.7510522, 2.962844], 'ThumbLeft': [-2.01616168, 0.763593, 2.920111], 'HandTipRight': [-1.651902, 0.630373955, 3.367832], 'ThumbRight': [-1.61929488, 0.665347, 3.33166671]};0;0;0;0.289;Scratching;-111.300;1.863;3.095;23.700;1.747;3.008;1.993;2.912;1.821;3.009
467;AW_221120;2020-11-22 15:11:18.231224;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935958;1.792;3.071;1.638;15:11:18.2312248;{'SpineBase': [-1.82236385, 0.730708241, 3.20632553], 'SpineMid': [-1.79171228, 0.939791143, 3.071494], 'Neck': [-1.752682, 1.14227486, 2.93072581], 'Head': [-1.78572381, 1.05994165, 3.02581668], 'ShoulderLeft': [-1.84652722, 1.152225, 2.8998487], 'ElbowLeft': [-1.90750587, 1.0123409, 2.82884431], 'WristLeft': [-1.94633865, 0.8272726, 2.93455625], 'HandLeft': [-1.96531427, 0.7791122, 2.99604869], 'ShoulderRight': [-1.65187943, 1.10547233, 3.021118], 'ElbowRight': [-1.62421334, 0.9761983, 3.18804216], 'WristRight': [-1.574001, 0.792320549, 3.29417658], 'HandRight': [-1.54373085, 0.7187592, 3.33303666], 'HipLeft': [-1.85293, 0.7234684, 3.155696], 'KneeLeft': [-1.90218484, 0.34619832, 3.257435], 'AnkleLeft': [-2.025046, -0.03443956, 3.49512315], 'FootLeft': [-2.09850645, -0.106565736, 3.46504569], 'HipRight': [-1.7604754, 0.728055835, 3.203207], 'KneeRight': [-1.73808193, 0.398609459, 3.37964869], 'AnkleRight': [-1.74815226, 0.0220660772, 3.58945823], 'FootRight': [-1.68574417, -0.0568478033, 3.569924], 'SpineShoulder': [-1.76353145, 1.092674, 2.96748757], 'HandTipLeft': [-1.96167243, 0.7120206, 3.00866556], 'ThumbLeft': [-1.98379111, 0.7433685, 3.00755572], 'HandTipRight': [-1.52365744, 0.6703118, 3.35423875], 'ThumbRight': [-1.51555693, 0.7069477, 3.315875]};0;0;0;0.438;Undefined;-121.920;1.792;3.071;13.080;1.652;3.021;1.847;2.900;1.764;2.967
468;AW_221120;2020-11-22 15:11:18.452884;frontaldl;1.833;0.000;0.000;0.0;0.0;0.0;0.0;0.000;4037935958;1.743;3.078;1.639;15:11:18.4528846;{'SpineBase': [-1.77928007, 0.7079899, 3.22351646], 'SpineMid': [-1.74290681, 0.9267576, 3.0776], 'Neck': [-1.70017231, 1.13772154, 2.92359328], 'Head': [-1.70125186, 1.2204237, 2.877859], 'ShoulderLeft': [-1.82292783, 1.03211975, 2.90061355], 'ElbowLeft': [-1.9046005, 0.842203259, 2.97879672], 'WristLeft': [-1.92077887, 0.683734238, 3.02236533], 'HandLeft': [-1.916076, 0.643651962, 3.047636], 'ShoulderRight': [-1.60234439, 1.10078752, 3.02815461], 'ElbowRight': [-1.57219243, 0.9610273, 3.193415], 'WristRight': [-1.517648, 0.7645779, 3.286137], 'HandRight': [-1.502077, 0.6899411, 3.32051826], 'HipLeft': [-1.80995393, 0.695369363, 3.17211962], 'KneeLeft': [-1.79664123, 0.333762676, 3.30598354], 'FootLeft': [-1.744531, -0.03707972, 3.47092485], 'HipRight': [-1.71850431, 0.7085887, 3.22115779], 'KneeRight': [-1.75316942, 0.333565176, 3.38622665], 'AnkleRight': [-1.75371921, -0.0306156613, 3.55270839], 'FootRight': [-1.683511, -0.09056419, 3.50766921], 'SpineShoulder': [-1.71190286, 1.08610559, 2.96368146], 'HandTipLeft': [-1.91351163, 0.580244958, 3.07599545], 'ThumbLeft': [-1.912441, 0.683014035, 3.101], 'HandTipRight': [-1.493781, 0.642095268, 3.34707642], 'ThumbRight': [-1.46609759, 0.6537463, 3.3175]};0;0;0;0.464;Undefined;-120.040;1.743;3.078;14.960;1.602;3.028;1.823;2.901;1.712;2.964
